event,date_et,symbol,entry_time_et,broker,fill_id,fill_price,duplicate_webull_fill,max_up_pct,max_up_elapsed_minutes,max_down_pct,max_down_elapsed_minutes,boundary_kind,exit_time_et,exit_price,exit_trigger,missing_bars
1,2026-08-24,PMI,Schwab: 07:32:02.000; Webull: 07:32:04.446,Schwab+Webull,Schwab: 02e2479a-0c67-4d6d-b9bf-1d8187cd2895; Webull: 407ebd32-b633-4918-82ff-15a5f75daf27,Schwab: 4.3600; Webull: 4.3600,no,Schwab: +0.4587; Webull: +0.4587,Schwab: 7.456; Webull: 7.415,Schwab: -1.8349; Webull: -1.8349,Schwab: 12.204; Webull: 12.164,Schwab: actual exit; Webull: actual exit,Schwab: 07:46:02.000; Webull: 07:46:04.045,Schwab: 4.3003; Webull: 4.3000,Schwab: CW_FLIP; Webull: CW_FLIP,Schwab: none; Webull: none
2,2026-08-24,BTCT,Webull: 09:26:59.338,Webull,Webull: f10ed337-82aa-4d36-8510-3427ba5b9c4a,Webull: 1.6893,no,Webull: -0.5505,Webull: 0.003,Webull: -5.2862,Webull: 3.657,Webull: actual exit,Webull: 09:30:39.103,Webull: 1.6013,Webull: CW_HARD_STOP,Webull: none
3,2026-08-24,XPON,Schwab: 09:33:25.000; Webull: 09:33:25.665,Schwab+Webull,Schwab: 4acaad2a-c595-497a-8155-28c3b70db855; Webull: 9e5194f6-1933-41da-a1a6-3221907c39c4,Schwab: 8.7200; Webull: 8.7150,no,Schwab: +1.2615; Webull: +6.0241,Schwab: 0.159; Webull: 112.521,Schwab: -2.1789; Webull: -46.5290,Schwab: 0.047; Webull: 221.749,Schwab: actual exit; Webull: 16:00 cutoff,Schwab: 09:33:35.000; Webull: 16:00:00.000,Schwab: 8.8900; Webull: 6.1500 mark,Schwab: native OCO target; Webull: still open at 16:00,"Schwab: none; Webull: 25 missing: 09:48,09:49,09:50,09:51,09:57,09:58,09:59,10:00,+17 more"
4,2026-08-24,BTCT,Webull: 09:54:54.944,Webull,Webull: 27d0676b-9c0a-4107-b295-9d7afc6d1f9a,Webull: 1.6300,no,Webull: +68.0982,Webull: 32.438,Webull: -2.4540,Webull: 0.606,Webull: 16:00 cutoff,Webull: 16:00:00.000,Webull: 1.7400 mark,Webull: still open at 16:00,"Webull: 4 missing: 10:07,10:08,10:09,10:10"
5,2026-08-24,XPON,Schwab: 10:54:00.000,Schwab,Schwab: a0ddbcd9-e317-4a2a-9ea7-ce37c354b671,Schwab: 7.1191,no,Schwab: +1.4173,Schwab: 2.524,Schwab: -3.0776,Schwab: 1.616,Schwab: actual exit,Schwab: 10:56:32.000,Schwab: 7.2700,Schwab: native OCO target,Schwab: none
6,2026-08-24,DAIC,Webull: 11:12:20.955; Schwab: 11:12:21.000,Webull+Schwab,Webull: bd826d03-17ad-48cc-a73d-b1adc5ad03f3; Schwab: 9cbd93af-ff4f-4e32-972a-f96dc65f7e72,Webull: 1.9399; Schwab: 1.9400,no,Webull: +61.8640; Schwab: +8.2474,Webull: 172.127; Schwab: 2.754,Webull: -40.7186; Schwab: -6.1856,Webull: 29.441; Schwab: 0.788,Webull: 16:00 cutoff; Schwab: actual exit,Webull: 16:00:00.000; Schwab: 11:15:27.000,Webull: 1.7100 mark; Schwab: 2.1200,Webull: still open at 16:00; Schwab: native OCO target,"Webull: 164 missing: 11:16,11:17,11:18,11:19,11:22,11:23,11:24,11:25,+156 more; Schwab: none"
7,2026-08-24,DAIC,Schwab: 11:54:34.000,Schwab,Schwab: 8e9384e9-274c-4759-aa5c-4fc26f383d4b,Schwab: 2.2487,no,Schwab: +20.0694,Schwab: 2.018,Schwab: -21.7326,Schwab: 35.089,Schwab: actual exit,Schwab: 12:56:10.000,Schwab: 2.5300,Schwab: native OCO target,"Schwab: 43 missing: 11:56,11:57,11:58,11:59,12:00,12:01,12:02,12:03,+35 more"
8,2026-08-24,DAIC,Schwab: 12:56:10.000,Schwab,Schwab: 4c51c960-87b9-400c-b88e-d989c9c139b2,Schwab: 2.4800,no,Schwab: +26.6129,Schwab: 68.310,Schwab: -11.2903,Schwab: 28.607,Schwab: actual exit,Schwab: 14:10:03.000,Schwab: 2.8200,Schwab: native OCO target,"Schwab: 46 missing: 12:58,12:59,13:00,13:01,13:03,13:04,13:05,13:06,+38 more"
9,2026-08-24,XPON,Schwab: 13:03:07.000,Schwab,Schwab: 2d5ae09c-176a-4148-aa0d-c33688e1aebe,Schwab: 7.6300,no,Schwab: -0.3932,Schwab: 0.012,Schwab: -4.5872,Schwab: 6.375,Schwab: actual exit,Schwab: 13:09:42.000,Schwab: 7.2500,Schwab: native OCO stop,Schwab: none
10,2026-08-24,XPON,Schwab: 13:31:58.000,Schwab,Schwab: 82954377-9fc8-4815-a294-8c767038daae,Schwab: 7.2100,no,Schwab: +1.8031,Schwab: 1.369,Schwab: -1.9417,Schwab: 0.230,Schwab: actual exit,Schwab: 13:33:31.000,Schwab: 7.3600,Schwab: native OCO target,Schwab: none
11,2026-08-24,LUCY,Schwab: 13:50:43.000; Webull: 13:50:43.613,Schwab+Webull,Schwab: f0ca2c5c-bc3f-4ca6-996d-83790e73dc76; Webull: c26b2a80-31c7-4245-beb0-48b0a4cfde63,Schwab: 1.0800; Webull: 1.0800,no,Schwab: +0.9259; Webull: +3.7037,Schwab: 60.119; Webull: 125.024,Schwab: -3.7037; Webull: -3.7037,Schwab: 4.976; Webull: 4.966,Schwab: actual exit; Webull: 16:00 cutoff,Schwab: 14:50:51.000; Webull: 16:00:00.000,Schwab: 1.1000; Webull: 1.0900 mark,Schwab: native OCO target; Webull: still open at 16:00,Schwab: none; Webull: none
12,2026-08-24,XPON,Schwab: 14:38:42.000,Schwab,Schwab: 6bc209b6-2547-4bf4-978f-729cace99b91,Schwab: 7.3800,no,Schwab: +1.0840,Schwab: 6.823,Schwab: -3.6585,Schwab: 2.101,Schwab: actual exit,Schwab: 14:51:18.000,Schwab: 7.5200,Schwab: native OCO target,Schwab: none
13,2026-08-24,PMI,Schwab: 15:13:59.000; Webull: 15:13:59.237,Schwab+Webull,Schwab: f017f0fb-1310-47f4-bc25-49e405b94242; Webull: e1704d9c-4f78-43bd-b7e3-f3fc0bd433aa,Schwab: 4.6500; Webull: 4.6690,no,Schwab: +1.2903; Webull: +12.8721,Schwab: 1.407; Webull: 45.961,Schwab: -0.6452; Webull: -3.6196,Schwab: 0.854; Webull: 5.754,Schwab: actual exit; Webull: 16:00 cutoff,Schwab: 15:15:54.000; Webull: 16:00:00.000,Schwab: 4.7400; Webull: 5.2300 mark,Schwab: native OCO target; Webull: still open at 16:00,Schwab: none; Webull: none
14,2026-08-24,LUCY,Schwab: 15:19:10.000,Schwab,Schwab: 4c8ac1f5-177a-4d13-9a11-74be3b721c9d,Schwab: 1.0800,no,Schwab: +0.9259,Schwab: 0.293,Schwab: -3.7037,Schwab: 0.000,Schwab: actual exit,Schwab: 15:19:40.000,Schwab: 1.1000,Schwab: native OCO target,Schwab: none
15,2026-08-25,DAIC,Schwab: 11:36:51.000; Webull: 11:36:51.957,Schwab+Webull,Schwab: 6f3f4d8d-550e-40f5-a042-a74598bfff04; Webull: de290c20-d87e-4dde-a329-f40783020e47,Schwab: 3.2000; Webull: 3.2000,no,Schwab: +0.0000; Webull: +31.2500,Schwab: 28.032; Webull: 50.236,Schwab: -4.0625; Webull: -4.0625,Schwab: 17.092; Webull: 17.076,Schwab: actual exit; Webull: 16:00 cutoff,Schwab: 12:05:00.000; Webull: 16:00:00.000,Schwab: 3.2600; Webull: 3.8500 mark,Schwab: native OCO target; Webull: still open at 16:00,Schwab: none; Webull: none
16,2026-08-25,BTCT,Webull: 11:48:33.567,Webull,Webull: 6c4fcbd1-0b17-42ae-add6-fd3bbf5fe207,Webull: 1.9400,no,Webull: +6.7010,Webull: 89.186,Webull: -2.0619,Webull: 26.592,Webull: 16:00 cutoff,Webull: 16:00:00.000,Webull: 2.0700 mark,Webull: still open at 16:00,"Webull: 157 missing: 13:23,13:24,13:25,13:26,13:27,13:28,13:29,13:30,+149 more"
17,2026-08-25,AIXI,Webull: 12:05:08.180,Webull,Webull: 230e53dd-9d29-4331-a618-26eafcf96865,Webull: 1.1700,no,Webull: +0.0000,Webull: 24.065,Webull: -9.4017,Webull: 7.122,Webull: actual exit,Webull: 12:29:28.378,Webull: 1.1800,Webull: native OCO exit,Webull: none
18,2026-08-25,PMI,Schwab: 12:18:46.000; Webull: 12:18:46.363,Schwab+Webull,Schwab: fb3e8cc7-283b-448d-9861-6d60385553d7; Webull: f4afb5aa-b498-4350-a23a-ddff344f48e5,Schwab: 7.6800; Webull: 7.7000,no,Schwab: +1.0417; Webull: +44.1558,Schwab: 2.344; Webull: 102.064,Schwab: -1.1719; Webull: -1.4286,Schwab: 0.007; Webull: 0.001,Schwab: actual exit; Webull: 16:00 cutoff,Schwab: 12:23:18.000; Webull: 16:00:00.000,Schwab: 7.8300; Webull: 9.4600 mark,Schwab: native OCO target; Webull: still open at 16:00,Schwab: none; Webull: none
19,2026-08-25,AIXI,Webull: 12:22:58.387,Webull,Webull: 03588d3b-6b2a-4638-a367-02a0b592a60d,Webull: 1.1550,no,Webull: +16.0173,Webull: 13.990,Webull: -2.1645,Webull: 2.354,Webull: actual exit,Webull: 14:12:43.810,Webull: 1.2600,Webull: native OCO target,Webull: none
20,2026-08-25,PMI,Schwab: 12:24:29.000,Schwab,Schwab: f22411ed-ae52-4bc8-8ecb-7ba4b0284b43,Schwab: 7.8600,no,Schwab: +0.6361,Schwab: 0.452,Schwab: -0.7634,Schwab: 0.010,Schwab: actual exit,Schwab: 12:25:06.000,Schwab: 8.0200,Schwab: native OCO target,Schwab: none
21,2026-08-25,AIXI,Webull: 13:28:57.283,Webull,Webull: 732ecd61-5f91-4a5b-acb6-8d01b10d11c4,Webull: 1.2000,no,Webull: +13.3333,Webull: 146.116,Webull: -5.0000,Webull: 25.600,Webull: 16:00 cutoff,Webull: 16:00:00.000,Webull: 1.3100 mark,Webull: still open at 16:00,Webull: none
